LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
-,verb,locate,,,in,InTransitiveFrame,domain,range,8,dbo:country,dbo:BodyOfWater,dbo:Country,What dbo:BodyOfWater(X)  in Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:country Y.},Which dbo:Country(X) does Y(dbo:BodyOfWater) locate in?,FALSE,SELECT ?X WHERE { Y dbo:country ?X.}
-,verb,locate,,,in,InTransitiveFrame,domain,range,1,dbo:location,dbo:Organisation,dbo:Place,What dbo:Organisation(X)  in Y(dbo:Place)?,FALSE,SELECT ?X WHERE { ?X dbo:location Y.},Which dbo:Place(X) does Y(dbo:Organisation) locate in?,FALSE,SELECT ?X WHERE { Y dbo:location ?X.}
-,verb,locate,,,in,InTransitiveFrame,domain,range,3,dbo:city,dbo:Airport,dbo:City,What dbo:Airport(X)  in Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbo:city Y.},Which dbo:City(X) does Y(dbo:Airport) locate in?,FALSE,SELECT ?X WHERE { Y dbo:city ?X.}
belong_to,verb,belong,,,to,InTransitiveFrame,domain,range,3,dbp:album,dbo:Song,dbo:Album,What dbo:Song(X)  to Y(dbo:Album)?,FALSE,SELECT ?X WHERE { ?X dbp:album Y.},Which dbo:Album(X) does Y(dbo:Song) belong to?,FALSE,SELECT ?X WHERE { Y dbp:album ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,1,dbo:species,dbo:Animal,dbp:species,What dbo:Animal(X)  to Y(dbp:species)?,FALSE,SELECT ?X WHERE { ?X dbo:species Y.},Which dbp:species(X) does Y(dbo:Animal) belong to?,FALSE,SELECT ?X WHERE { Y dbo:species ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,2,dbp:genre,dbo:Album,dbo:Genre,What dbo:Album(X)  to Y(dbo:Genre)?,FALSE,SELECT ?X WHERE { ?X dbp:genre Y.},Which dbo:Genre(X) does Y(dbo:Album) belong to?,FALSE,SELECT ?X WHERE { Y dbp:genre ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,4,dbo:genre,dbo:Film,dbo:Genre,What dbo:Film(X)  to Y(dbo:Genre)?,FALSE,SELECT ?X WHERE { ?X dbo:genre Y.},Which dbo:Genre(X) does Y(dbo:Film) belong to?,FALSE,SELECT ?X WHERE { Y dbo:genre ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,5,dbp:partof,dbo:Airport,yago:Facility103315023,What dbo:Airport(X)  to Y(yago:Facility103315023)?,FALSE,SELECT ?X WHERE { ?X dbp:partof Y.},Which yago:Facility103315023(X) does Y(dbo:Airport) belong to?,FALSE,SELECT ?X WHERE { Y dbp:partof ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,6,dbp:party,dbo:Agent,dbo:PoliticalParty,What dbo:Agent(X)  to Y(dbo:PoliticalParty)?,FALSE,SELECT ?X WHERE { ?X dbp:party Y.},Which dbo:PoliticalParty(X) does Y(dbo:Agent) belong to?,FALSE,SELECT ?X WHERE { Y dbp:party ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,7,dbo:literaryGenre,dbo:WrittenWork,dbo:Genre,What dbo:WrittenWork(X)  to Y(dbo:Genre)?,FALSE,SELECT ?X WHERE { ?X dbo:literaryGenre Y.},Which dbo:Genre(X) does Y(dbo:WrittenWork) belong to?,FALSE,SELECT ?X WHERE { Y dbo:literaryGenre ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,8,dbo:mountainRange,dbo:Mountain,dbo:MountainRange,What dbo:Mountain(X)  to Y(dbo:MountainRange)?,FALSE,SELECT ?X WHERE { ?X dbo:mountainRange Y.},Which dbo:MountainRange(X) does Y(dbo:Mountain) belong to?,FALSE,SELECT ?X WHERE { Y dbo:mountainRange ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,9,dbo:genre,dbo:Band,dbo:Genre,What dbo:Band(X)  to Y(dbo:Genre)?,FALSE,SELECT ?X WHERE { ?X dbo:genre Y.},Which dbo:Genre(X) does Y(dbo:Band) belong to?,FALSE,SELECT ?X WHERE { Y dbo:genre ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,10,dbo:bandMember,dbo:Person,dbo:Band,What dbo:Person(X)  to Y(dbo:Band)?,FALSE,SELECT ?X WHERE { ?X dbo:bandMember Y.},Which dbo:Band(X) does Y(dbo:Person) belong to?,FALSE,SELECT ?X WHERE { Y dbo:bandMember ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,11,dbo:genre,dbo:Software,dbo:Genre,What dbo:Software(X)  to Y(dbo:Genre)?,FALSE,SELECT ?X WHERE { ?X dbo:genre Y.},Which dbo:Genre(X) does Y(dbo:Software) belong to?,FALSE,SELECT ?X WHERE { Y dbo:genre ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,12,dbo:series,dbo:Software,owl:Thing,What dbo:Software(X)  to Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:series Y.},Which owl:Thing(X) does Y(dbo:Software) belong to?,FALSE,SELECT ?X WHERE { Y dbo:series ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,13,dbo:genre,dbo:Artist,dbo:Genre,What dbo:Artist(X)  to Y(dbo:Genre)?,FALSE,SELECT ?X WHERE { ?X dbo:genre Y.},Which dbo:Genre(X) does Y(dbo:Artist) belong to?,FALSE,SELECT ?X WHERE { Y dbo:genre ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,14,dbo:team,dbo:Person,dbo:SportsTeam,What dbo:Person(X)  to Y(dbo:SportsTeam)?,FALSE,SELECT ?X WHERE { ?X dbo:team Y.},Which dbo:SportsTeam(X) does Y(dbo:Person) belong to?,FALSE,SELECT ?X WHERE { Y dbo:team ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,15,dbo:subdivision,dbo:Settlement,dbo:Place,What dbo:Settlement(X)  to Y(dbo:Place)?,FALSE,SELECT ?X WHERE { ?X dbo:subdivision Y.},Which dbo:Place(X) does Y(dbo:Settlement) belong to?,FALSE,SELECT ?X WHERE { Y dbo:subdivision ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,16,dbo:timeZone,dbo:Place,yago:TimeZone108691276,What dbo:Place(X)  to Y(yago:TimeZone108691276)?,FALSE,SELECT ?X WHERE { ?X dbo:timeZone Y.},Which yago:TimeZone108691276(X) does Y(dbo:Place) belong to?,FALSE,SELECT ?X WHERE { Y dbo:timeZone ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,17,dbo:architecturalStyle,dbo:ArchitecturalStructure,owl:Thing,What dbo:ArchitecturalStructure(X)  to Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:architecturalStyle Y.},Which owl:Thing(X) does Y(dbo:ArchitecturalStructure) belong to?,FALSE,SELECT ?X WHERE { Y dbo:architecturalStyle ?X.}
-,verb,belong,,,to,InTransitiveFrame,domain,range,18,dbo:formerTeam,dbo:Athlete,dbo:SportsTeam,What dbo:Athlete(X)  to Y(dbo:SportsTeam)?,FALSE,SELECT ?X WHERE { ?X dbo:formerTeam Y.},Which dbo:SportsTeam(X) does Y(dbo:Athlete) belong to?,FALSE,SELECT ?X WHERE { Y dbo:formerTeam ?X.}
play_for,verb,play,,,for,InTransitiveFrame,domain,range,1,dbo:debutTeam,dbo:Athlete,dbo:SportsTeam,What dbo:Athlete(X)  for Y(dbo:SportsTeam)?,FALSE,SELECT ?X WHERE { ?X dbo:debutTeam Y.},Which dbo:SportsTeam(X) does Y(dbo:Athlete) play for?,FALSE,SELECT ?X WHERE { Y dbo:debutTeam ?X.}
study_at,verb,study,,,at,InTransitiveFrame,domain,range,1,dbo:education,dbo:Person,dbo:EducationalInstitution,What dbo:Person(X)  at Y(dbo:EducationalInstitution)?,FALSE,SELECT ?X WHERE { ?X dbo:education Y.},Which dbo:EducationalInstitution(X) does Y(dbo:Person) study at?,FALSE,SELECT ?X WHERE { Y dbo:education ?X.}
name_after,verb,name,,,after,InTransitiveFrame,domain,range,1,dbo:namedAfter,dbo:Settlement,dbo:Agent,What dbo:Settlement(X)  after Y(dbo:Agent)?,FALSE,SELECT ?X WHERE { ?X dbo:namedAfter Y.},Which dbo:Agent(X) does Y(dbo:Settlement) name after?,FALSE,SELECT ?X WHERE { Y dbo:namedAfter ?X.}
associate_with,verb,associate,,,with,InTransitiveFrame,domain,range,1,dbo:associatedBand,dbo:Band,dbo:Band,What dbo:Band(X)  with Y(dbo:Band)?,FALSE,SELECT ?X WHERE { ?X dbo:associatedBand Y.},Which dbo:Band(X) does Y(dbo:Band) associate with?,FALSE,SELECT ?X WHERE { Y dbo:associatedBand ?X.}
-,verb,associate,,,with,InTransitiveFrame,domain,range,2,dbo:associatedMusicalArtist,dbo:Band,dbo:MusicalArtist,What dbo:Band(X)  with Y(dbo:MusicalArtist)?,FALSE,SELECT ?X WHERE { ?X dbo:associatedMusicalArtist Y.},Which dbo:MusicalArtist(X) does Y(dbo:Band) associate with?,FALSE,SELECT ?X WHERE { Y dbo:associatedMusicalArtist ?X.}
-,verb,associate,,,with,InTransitiveFrame,domain,range,3,dbo:movement,dbo:Artist,owl:Thing,What dbo:Artist(X)  with Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:movement Y.},Which owl:Thing(X) does Y(dbo:Artist) associate with?,FALSE,SELECT ?X WHERE { Y dbo:movement ?X.}
currently_use_for,verb,currently use,,,for,InTransitiveFrame,domain,range,1,dbo:currentlyUsedFor,dbo:ArchitecturalStructure,xsd:string,What dbo:ArchitecturalStructure(X)  for Y(xsd:string)?,FALSE,SELECT ?X WHERE { ?X dbo:currentlyUsedFor Y.},Which xsd:string(X) does Y(dbo:ArchitecturalStructure) currently use for?,FALSE,SELECT ?X WHERE { Y dbo:currentlyUsedFor ?X.}
initially_use_for,verb,initially use,,,for,InTransitiveFrame,domain,range,2,dbo:initiallyUsedFor,dbo:ArchitecturalStructure,xsd:string,What dbo:ArchitecturalStructure(X)  for Y(xsd:string)?,FALSE,SELECT ?X WHERE { ?X dbo:initiallyUsedFor Y.},Which xsd:string(X) does Y(dbo:ArchitecturalStructure) initially use for?,FALSE,SELECT ?X WHERE { Y dbo:initiallyUsedFor ?X.}
originate_in,verb,originate,,,in,InTransitiveFrame,domain,range,1,dbo:sourceCountry,dbo:Stream,dbo:Country,What dbo:Stream(X)  in Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:sourceCountry Y.},Which dbo:Country(X) does Y(dbo:Stream) originate in?,FALSE,SELECT ?X WHERE { Y dbo:sourceCountry ?X.}
end_in,verb,end,,,in,InTransitiveFrame,domain,range,1,dbo:mouthPlace,dbo:River,dbo:PopulatedPlace,What dbo:River(X)  in Y(dbo:PopulatedPlace)?,FALSE,SELECT ?X WHERE { ?X dbo:mouthPlace Y.},Which dbo:PopulatedPlace(X) does Y(dbo:River) end in?,FALSE,SELECT ?X WHERE { Y dbo:mouthPlace ?X.}
-,verb,end,,,in,InTransitiveFrame,domain,range,2,dbo:mouthCountry,dbo:River,dbo:Country,What dbo:River(X)  in Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:mouthCountry Y.},Which dbo:Country(X) does Y(dbo:River) end in?,FALSE,SELECT ?X WHERE { Y dbo:mouthCountry ?X.}
be_from,verb,be,,,from,InTransitiveFrame,domain,range,1,dbo:hometown,dbo:Agent,dbo:Settlement,What dbo:Agent(X)  from Y(dbo:Settlement)?,FALSE,SELECT ?X WHERE { ?X dbo:hometown Y.},Which dbo:Settlement(X) does Y(dbo:Agent) be from?,FALSE,SELECT ?X WHERE { Y dbo:hometown ?X.}
border_in,verb,border,,,in,InTransitiveFrame,domain,range,1,dbo:borderingstates,dbo:State,dbo:State,What dbo:State(X)  in Y(dbo:State)?,FALSE,SELECT ?X WHERE { ?X dbo:borderingstates Y.},Which dbo:State(X) does Y(dbo:State) border in?,FALSE,SELECT ?X WHERE { Y dbo:borderingstates ?X.}
bury_in,verb,bury,,,in,InTransitiveFrame,domain,range,1,dbp:burialPlace,dbo:Person,dbo:City,What dbo:Person(X)  in Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbp:burialPlace Y.},Which dbo:City(X) does Y(dbo:Person) bury in?,FALSE,SELECT ?X WHERE { Y dbp:burialPlace ?X.}
-,verb,bury,,,in,InTransitiveFrame,domain,range,2,dbo:restingPlace,dbo:Person,dbo:Place,-,FALSE,SELECT ?X WHERE { ?X dbo:restingPlace Y.},-,FALSE,SELECT ?X WHERE { Y dbo:restingPlace ?X.}
