LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingularForm, domainWrittenPluralForm,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
publicationDate-of,noun,publication date,-,of,NounPPFrame,range,domain,1,dbo:publicationDate,dbo:WrittenWork,xsd:date,written work,written works,-,-
numberOfPages-of,noun,number of pages,-,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,written work,written works,-,-
genre-of,noun,genre,genres,of,NounPPFrame,range,domain,1,dbo:genre,dbo:Work,dbo:Genre,work,works,Genre,Genres
composer-of,noun,composer,composers,of,NounPPFrame,range,domain,1,dbo:composer,dbo:Work,dbo:Person,work,works,Person,Persons
director-of,noun,director,directors,of,NounPPFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,Film,Films,Person,Persons
budget-of,noun,budget,budgets,of,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,Film,Films,-,-
musicComposer-of,noun,music composer,music composers,of,NounPPFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person,Film,Films,Person,Persons
alterEgo-of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double,populated Place,populated Places,-,-
areaCode_of,noun,area code,-,of,NounPPFrame,range,domain,1,dbo:areaCode,dbo:Place,xsd:string,Place,Places,-,-
artisticMovement_of,noun,artistic movement,artistic movements,of,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing,Artist,Artists,Thing,Things
author_of,noun,author,authors,of,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person,work,works,Person,Persons
birthYear_of,noun,birth year,-,of,NounPPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear,Person,Persons,year,years
causeOfDeath_of,noun,cause of death,causes of death,of ,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,owl:Thing,Person,Persons,Thing,Things
child_of,noun,child,children,of ,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,Person,Persons,Person,Persons
cost_of,noun,cost,-,of,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,Film,Films,-,-
currency_of,noun,currency,currencies,of,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,Country,Countries,Currency,Currencies
deathDate-of,noun,death date,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,Person,Persons,-,-
developer_of,noun,developer,developers,of,NounPPFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,work,works,Agent,Agents
dissolutionDate_of,noun,dissolution date,-,of,NounPPFrame,range,domain,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,populated Place,populated Places,-,-
doctoralSupervisor_of,noun,doctoral supervisor,doctoral supervisors,of,NounPPFrame,range,domain,1,dbo: doctoralAdvisor,dbo:Scientist,dbo:Person,Scientist,Scientists,Person,Persons
elevation_of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double,populated Place,populated Places,-,-
episode_of,noun,episode,episodes,of,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:TelevisionShow,Television Episode,Television Episodes,Television show,Television shows
foundationPlace_of,noun,foundation place,-,of,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Organisation,dbo:City,Organisation,Organisations,City,Cities
founder_of,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:parentCompany,dbo:Company,dbo:Company,Company,Companies,Company,Companies
foundingYear_of,noun,founding year,-,of,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Company,xsd:gYear,Company,Companies,year,years
headquarter_of,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,Organisation,Organisations,populated Place,populated Places
homeStadium_of,noun,home stadium,home stadiums,of,NounPPFrame,range,domain,1,dbo:ground,dbo:SoccerClub,dbo:Building,Soccer Club,Soccer Clubs,Building,Buildings
host_of,noun,host,hosts,of,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,Television show,Television shows,Person,Persons
influencer_of,noun,influencer,influencers,of,NounPPFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,Person,Persons,Person,Persons
ingredient_of,noun,ingredient,ingredients,of,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,Food,Foods,Thing,Things
largestCity_of,noun,largest city,-,of,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,Country,Countries,City,Cities
leader-of,noun,leader,-,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Country,dbo:Person,Country,Countries,Person,Persons
location-of,noun,location,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place,Place,Places,Place,Places
manufacturer-of,noun,manufacturer,manufacturers,of,NounPPFrame,range,domain,1,dbo:manufacturer,owl:Thing,dbo:Organisation,Thing,Things,Organisation,Organisations
mayor_of,noun,mayor,-,of,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,City,Cities,Person,Persons
almaMater-of,noun,Alma Mater,Alma Maters,of,NounPPFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:EducationalInstitution,Person,Persons,educational Institution,educational Institutions
destination-of,noun,destination,destinations,of,NounPPFrame,range,domain,1,dbo:destination,dbo:PublicTransitSystem,dbo:PopulatedPlace,public TransitSystem,public TransitSystems,populated Place,populated Places
distributor-of,noun,distributor,distributors,of,NounPPFrame,range,domain,1,dbo:distributor,dbo:Film,dbo:Organisation,Film,Films,Organisation,Organisations
gross-of,noun,gross,-,of,NounPPFrame,range,domain,1,dbo:gross,dbo:Film,xsd:double,Film,Films,-,-
productionCompany-of,noun,production company,production companies,of,NounPPFrame,range,domain,1,dbo:productionCompany,dbo:Work,dbo:Company,work,works,Company,Companies
length-of,noun,length,-,of,NounPPFrame,range,domain,1,dbo:length,dbo:River,xsd:double,River,Rivers,-,-
areaTotal-of,noun,total area,-,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double,Place,Places,-,-
governingBody-of,noun,governing body,governing bodies,of,NounPPFrame,range,domain,1,dbo:governingBody,dbo:Place,dbo:Organisation,Place,Places,Organisation,Organisations
elevation-of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:elevation,dbo:Place,xsd:double,Place,Places,-,-
populationMetro-of,noun,population metro,population metros,of,NounPPFrame,range,domain,1,dbo:populationMetro,dbo:PopulatedPlace,xsd:nonNegativeInteger,populated Place,populated Places,-,-
areaUrban-of,noun,urban area,urban areas,of,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double,populated Place,populated Places,-,-
populationDensity-of,noun,population density,-,of,NounPPFrame,range,domain,1,dbo:populationDensity,dbo:PopulatedPlace,xsd:double,populated Place,populated Places,-,-
populationTotalRanking_of,noun,total population ranking,-,of,NounPPFrame,range,domain,1,dbo:populationTotalRanking,dbo:PopulatedPlace,xsd:positiveInteger,populated Place,populated Places,-,-
